candidate,family,instance,solver,seed,dbs_best_lb,dbs_verified_ub,dbs_gap,dbs_solver_opt,controller_best_lb,controller_verified_ub,controller_gap,controller_solver_opt,delta_lb_controller_minus_dbs,delta_ub_controller_minus_dbs,delta_gap_controller_minus_dbs,delta_opt_controller_minus_dbs
reference,T2,T2_250_250_8.wclq,fast-v19,3,306,306,0,1,306,306,0,1,0,0,0,0
reference,T2,T2_50_1000_6.wclq,deep-v6,1,11,11,0,1,11,11,0,1,0,0,0,0
reference,T2,T2_50_1000_6.wclq,deep-v6,2,11,11,0,1,11,11,0,1,0,0,0,0
reference,T2,T2_50_1000_6.wclq,deep-v6,3,11,11,0,1,11,11,0,1,0,0,0,0
reference,T2,T2_50_1000_6.wclq,fast-v19,1,11,11,0,1,11,11,0,1,0,0,0,0
reference,T2,T2_50_1000_6.wclq,fast-v19,2,11,11,0,1,11,11,0,1,0,0,0,0
reference,T2,T2_50_1000_6.wclq,fast-v19,3,11,11,0,1,11,11,0,1,0,0,0,0
reference,UDG,UDG_1000_200_8.wclq,deep-v6,1,38,44,6,0,38,41,3,0,0,-3,-3,0
reference,UDG,UDG_1000_200_8.wclq,deep-v6,2,38,41,3,0,38,43,5,0,0,2,2,0
reference,UDG,UDG_1000_200_8.wclq,deep-v6,3,38,44,6,0,38,41,3,0,0,-3,-3,0
reference,UDG,UDG_1000_200_8.wclq,fast-v19,1,38,41,3,0,38,41,3,0,0,0,0,0
reference,UDG,UDG_1000_200_8.wclq,fast-v19,2,38,41,3,0,38,41,3,0,0,0,0,0
reference,UDG,UDG_1000_200_8.wclq,fast-v19,3,38,41,3,0,38,41,3,0,0,0,0,0
reference,UDG,UDG_100_200_1.wclq,deep-v6,1,210,210,0,1,210,210,0,1,0,0,0,0
reference,UDG,UDG_100_200_1.wclq,deep-v6,2,210,210,0,1,210,210,0,1,0,0,0,0
reference,UDG,UDG_100_200_1.wclq,deep-v6,3,210,210,0,1,210,210,0,1,0,0,0,0
reference,UDG,UDG_100_200_1.wclq,fast-v19,1,210,210,0,1,210,210,0,1,0,0,0,0
reference,UDG,UDG_100_200_1.wclq,fast-v19,2,210,210,0,1,210,210,0,1,0,0,0,0
reference,UDG,UDG_100_200_1.wclq,fast-v19,3,210,210,0,1,210,210,0,1,0,0,0,0
reference,UDG,UDG_500_150_3.wclq,deep-v6,1,162,162,0,1,162,162,0,1,0,0,0,0
reference,UDG,UDG_500_150_3.wclq,deep-v6,2,162,162,0,1,162,162,0,1,0,0,0,0
reference,UDG,UDG_500_150_3.wclq,deep-v6,3,162,162,0,1,162,162,0,1,0,0,0,0
reference,UDG,UDG_500_150_3.wclq,fast-v19,1,162,162,0,1,162,162,0,1,0,0,0,0
reference,UDG,UDG_500_150_3.wclq,fast-v19,2,162,162,0,1,162,162,0,1,0,0,0,0
reference,UDG,UDG_500_150_3.wclq,fast-v19,3,162,162,0,1,162,162,0,1,0,0,0,0
reference,UDG,UDG_50_150_0.wclq,deep-v6,1,462,462,0,1,462,462,0,1,0,0,0,0
reference,UDG,UDG_50_150_0.wclq,deep-v6,2,462,462,0,1,462,462,0,1,0,0,0,0
reference,UDG,UDG_50_150_0.wclq,deep-v6,3,462,462,0,1,462,462,0,1,0,0,0,0
reference,UDG,UDG_50_150_0.wclq,fast-v19,1,462,462,0,1,462,462,0,1,0,0,0,0
reference,UDG,UDG_50_150_0.wclq,fast-v19,2,462,462,0,1,462,462,0,1,0,0,0,0
reference,UDG,UDG_50_150_0.wclq,fast-v19,3,462,462,0,1,462,462,0,1,0,0,0,0
reference,UDG,UDG_800_200_8.wclq,deep-v6,1,39,39,0,1,39,39,0,1,0,0,0,0
reference,UDG,UDG_800_200_8.wclq,deep-v6,2,39,39,0,1,39,39,0,1,0,0,0,0
reference,UDG,UDG_800_200_8.wclq,deep-v6,3,39,39,0,1,39,39,0,1,0,0,0,0
reference,UDG,UDG_800_200_8.wclq,fast-v19,1,39,39,0,1,39,39,0,1,0,0,0,0
reference,UDG,UDG_800_200_8.wclq,fast-v19,2,39,39,0,1,39,39,0,1,0,0,0,0
reference,UDG,UDG_800_200_8.wclq,fast-v19,3,39,39,0,1,39,39,0,1,0,0,0,0
