candidate,solver,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
reference,deep-v6,75,7,62,6,60,3,69,3,-6,2,10,56,9,-66,0
reference,fast-v19,75,3,68,4,1,1,72,2,2,2,4,65,6,1,0
