Instance,PeakMem(MB),Time(s)
frb50-23-3.clq,19.17,3600.54
frb40-19-1.clq,8.80,3600.34
frb30-15-1.clq,3.80,0.29
frb56-25-1.clq,26.68,3600.85
frb56-25-4.clq,26.75,3600.79
