solver,seed,instance,V,E,best_lb,best_ub,gap,status
deep-v10,2,T1_500_5000_4.wclq,500,5000,598,1055,0.764214,OK
deep-v10,2,T1_500_500_0.wclq,500,500,5167,5476,0.059803,OK
deep-v10,2,T1_500_500_6.wclq,500,500,5153,5321,0.032602,OK
deep-v10,2,T1_50_1000_2.wclq,0,0,21,41,0.952381,PARTIAL
deep-v10,2,T1_50_1000_8.wclq,0,0,26,46,0.769231,PARTIAL
deep-v10,2,T1_50_100_4.wclq,50,100,320,356,0.1125,OK
deep-v10,2,T1_50_250_0.wclq,50,250,141,181,0.283688,OK
deep-v10,2,T1_50_250_6.wclq,50,250,127,163,0.283465,OK
deep-v10,2,T1_50_500_2.wclq,50,500,62,86,0.387097,OK
deep-v10,2,T1_50_500_8.wclq,50,500,58,96,0.655172,OK
deep-v10,2,T1_50_50_4.wclq,50,50,495,502,0.014141,OK
deep-v10,2,T1_50_750_0.wclq,50,750,38,69,0.815789,OK
deep-v10,2,T1_50_750_6.wclq,50,750,34,61,0.794118,OK
