Instance,PeakMem(MB),Time(s)
UDG_50_150_0.wclq,0.82,0.26
UDG_500_150_3.wclq,1.50,0.26
UDG_800_200_8.wclq,1.55,0.26
UDG_1000_200_8.wclq,2.86,3600.26
UDG_100_200_1.wclq,1.22,0.26
