Instance,PeakMem(MB),Time(s)
C4000.5.clq,63.41,36.17
gen200_p0.9_55.clq,1.66,0.40
hamming6-2.clq,1.05,0.26
DSJC500_5.clq,2.30,0.92
p_hat300-2.clq,1.70,0.65
