Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,517.13,out_of_time
web-it-2004.clq,229.96,3671.75
tech-ip.clq,865.27,out_of_time
wikipedia_link_en.clq,7354.37,out_of_time
sc-rel9.clq,1738.92,out_of_time
