Instance,PeakMem(MB),Time(s)
C4000.5.clq,63.41,34.56
gen200_p0.9_55.clq,1.66,0.30
hamming6-2.clq,0.00,0.23
DSJC500_5.clq,2.31,1.00
p_hat300-2.clq,1.70,0.45
