candidate,controller_label,family,instance,solver,logical_seed,actual_seed,rep,mode,cutoff,alpha,exit_code,parse_ok,V,E,first_lb,best_lb,lb_gain,first_ub,verified_ub,ub_gain,absolute_gap,relative_gap,solver_certified_opt,n_rounds,raw_output
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,1,101,2,controller_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,93,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__controller_rep2__s101.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,3,103,2,dbs_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,92,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep2__s103.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,2,102,2,dbs_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,95,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep2__s102.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,3,3,1,dbs_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,96,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep1__s3.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,1,1,1,controller_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,96,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__controller_rep1__s1.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,2,102,2,controller_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,94,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__controller_rep2__s102.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,3,3,1,controller_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,136,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__controller_rep1__s3.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,1,101,2,dbs_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,93,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep2__s101.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,2,2,1,dbs_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,96,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep1__s2.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,3,103,2,controller_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,94,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__controller_rep2__s103.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,1,1,1,dbs_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,95,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep1__s1.out
v007,bandit,T1,T1_50_1000_0.wclq,deep-v6,2,2,1,controller_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,95,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__deep-v6__controller_rep1__s2.out
v007,bandit,T1,T1_50_1000_0.wclq,fast-v19,2,102,2,dbs_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,108,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep2__s102.out
v007,bandit,T1,T1_50_1000_0.wclq,fast-v19,1,1,1,controller_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,98,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__fast-v19__controller_rep1__s1.out
v007,bandit,T1,T1_50_1000_0.wclq,fast-v19,2,2,1,controller_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,98,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__fast-v19__controller_rep1__s2.out
v007,bandit,T1,T1_50_1000_0.wclq,fast-v19,1,101,2,controller_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,98,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__fast-v19__controller_rep2__s101.out
v007,bandit,T1,T1_50_1000_0.wclq,fast-v19,1,1,1,dbs_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,108,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep1__s1.out
v007,bandit,T1,T1_50_1000_0.wclq,fast-v19,1,101,2,dbs_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,107,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep2__s101.out
v007,bandit,T1,T1_50_1000_0.wclq,fast-v19,2,2,1,dbs_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,108,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep1__s2.out
v007,bandit,T1,T1_50_1000_0.wclq,fast-v19,2,102,2,controller_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,97,../sumup/result/v007/raw/v007__T1__T1_50_1000_0.wclq__fast-v19__controller_rep2__s102.out
v007,bandit,T1,T1_200_2000_8.wclq,deep-v6,1,1,1,controller_rep1,20,90,0,True,200,2000,198,218,20,461,416,45,198,0.908256880733945,0,40,../sumup/result/v007/raw/v007__T1__T1_200_2000_8.wclq__deep-v6__controller_rep1__s1.out
v007,bandit,T1,T1_200_2000_8.wclq,deep-v6,2,102,2,controller_rep2,20,90,0,True,200,2000,198,230,32,461,416,45,186,0.808695652173913,0,39,../sumup/result/v007/raw/v007__T1__T1_200_2000_8.wclq__deep-v6__controller_rep2__s102.out
v007,bandit,T1,T1_200_2000_8.wclq,deep-v6,1,1,1,dbs_rep1,20,90,0,True,200,2000,198,217,19,461,416,45,199,0.9170506912442397,0,41,../sumup/result/v007/raw/v007__T1__T1_200_2000_8.wclq__deep-v6__dbs_rep1__s1.out
v007,bandit,T1,T1_200_2000_8.wclq,deep-v6,2,2,1,dbs_rep1,20,90,0,True,200,2000,198,223,25,461,416,45,193,0.8654708520179372,0,42,../sumup/result/v007/raw/v007__T1__T1_200_2000_8.wclq__deep-v6__dbs_rep1__s2.out
