candidate,solver,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
v007,deep-v6,102,13,72,17,-12937,6,93,3,-1558,14,15,68,19,11379,0
v007,fast-v19,104,12,90,2,1170,4,93,7,546399,183600,15,80,9,545229,0
