Instance,PeakMem(MB),Time(s)
C4000.5.clq,108.76,3602.37
gen200_p0.9_55.clq,1.84,3600.25
hamming6-2.clq,0.00,0.26
DSJC500_5.clq,3.64,3600.25
p_hat300-2.clq,1.95,3600.25
