solver,dataset,seed,timestamp,instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,gap_10s,gap_60s,gap_300s,gap_600s,gap_1800s,gap_3600s,n_rounds
dual-deep,T1,1,20260419144350,T1_1000_10000_0.wclq,1000,10000,1014,1014,2658,2092,1.063116,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_1.wclq,1000,10000,986,986,2695,2115,1.14503,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_2.wclq,1000,10000,988,988,2697,2103,1.128543,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_3.wclq,1000,10000,982,982,2713,2156,1.195519,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_4.wclq,1000,10000,986,986,2754,2138,1.168357,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_5.wclq,1000,10000,977,977,2650,2110,1.159672,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_6.wclq,1000,10000,974,974,2707,2135,1.191992,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_7.wclq,1000,10000,917,917,2607,2062,1.248637,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_8.wclq,1000,10000,966,966,2675,2070,1.142857,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_10000_9.wclq,1000,10000,1053,1053,2795,2174,1.064577,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_1000_0.wclq,1000,1000,9991,9991,10969,10406,0.041537,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_1000_1.wclq,1000,1000,10154,10154,10936,10495,0.033583,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_1000_2.wclq,1000,1000,10318,10318,11342,10771,0.043904,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_1000_3.wclq,1000,1000,10162,10162,10913,10568,0.039953,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_1000_4.wclq,1000,1000,10100,10100,11220,10578,0.047327,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_1000_5.wclq,1000,1000,10103,10103,11144,10555,0.044739,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_1000_6.wclq,1000,1000,10318,10318,11311,10693,0.036344,OK,-1,-1,-1,-1,-1,-1,1
dual-deep,T1,1,20260419144350,T1_1000_1000_7.wclq,1000,1000,9999,9999,11067,10474,0.047505,OK,-1,-1,-1,-1,-1,-1,1
