Instance,PeakMem(MB),Time(s)
T2_250_250_8.wclq,1.05,0.25
T2_1000_20000_9.wclq,1.74,1441.30
T2_150_2000_1.wclq,1.31,399.03
T2_50_1000_6.wclq,1.05,0.25
T2_250_2000_3.wclq,1.31,843.65
