Instance,PeakMem(MB),Time(s)
T1_200_250_7.wclq,1.32,3600.28
T1_1000_1000_2.wclq,1.58,3600.26
T1_50_1000_0.wclq,1.32,3600.25
T1_100_100_2.wclq,1.32,3598.80
T1_200_2000_8.wclq,1.32,3600.27
