Instance,PeakMem(MB),Time(s)
frb50-23-3.clq,10.34,1.40
frb40-19-1.clq,5.27,1.70
frb30-15-1.clq,2.70,0.26
frb56-25-1.clq,14.84,2.01
frb56-25-4.clq,14.83,2.10
