Instance,PeakMem(MB),Time(s)
T1_200_250_7.wclq,1.49,2120.25
T1_1000_1000_2.wclq,1.73,3640.23
T1_50_1000_0.wclq,1.31,0.39
T1_100_100_2.wclq,1.46,out_of_time
T1_200_2000_8.wclq,1.51,1403.52
