Instance,PeakMem(MB),Time(s)
eu-2005.clq,459.34,out_of_time
in-2004.clq,542.18,out_of_time
ldoor.clq,577.71,out_of_time
uk-2002.clq,8232.79,out_of_time
as-22july06.clq,6.87,0.32
