Instance,PeakMem(MB),Time(s)
eu-2005.clq,585.48,out_of_time
in-2004.clq,634.18,3612.43
ldoor.clq,824.81,out_of_time
uk-2002.clq,9992.98,out_of_time
as-22july06.clq,4.16,0.35
