Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,518.95,out_of_time
web-it-2004.clq,229.96,3688.15
tech-ip.clq,870.36,out_of_time
wikipedia_link_en.clq,7356.99,out_of_time
sc-rel9.clq,1742.91,out_of_time
