Instance,PeakMem(MB),Time(s)
C4000.5.clq,108.80,3602.69
gen200_p0.9_55.clq,1.84,3600.31
hamming6-2.clq,1.07,0.26
DSJC500_5.clq,3.64,3600.14
p_hat300-2.clq,1.95,3600.24
