Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,517.10,out_of_time
web-it-2004.clq,229.79,3605.52
tech-ip.clq,865.14,out_of_time
wikipedia_link_en.clq,7354.17,3672.21
sc-rel9.clq,1738.84,out_of_time
