Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.59,0.34
Wiki-Vote.clq,3.12,0.33
Cit-HepTh.clq,13.43,3604.96
Amazon0302.clq,76.86,3674.95
Slashdot0902.clq,28.77,3604.49
