candidate,solver,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
v006,deep-v6,102,17,73,12,-1971,5,89,8,1208,951,17,70,15,3179,0
v006,fast-v19,104,13,88,3,230557,4,92,8,655799,183600,15,81,8,425242,0
