candidate,solver,family,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
v006,deep-v6,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v006,deep-v6,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v006,deep-v6,DIMACS10,12,2,8,2,351,1,9,2,0,436,2,8,2,-351,0
v006,deep-v6,SNAP,15,2,10,3,-2532,2,8,5,1206,951,2,7,6,3738,0
v006,deep-v6,T1,15,8,3,4,-17,2,12,1,2,8,8,3,4,19,0
v006,deep-v6,T2,15,5,7,3,227,0,15,0,0,0,5,7,3,-227,0
v006,deep-v6,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v006,fast-v19,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v006,fast-v19,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v006,fast-v19,DIMACS10,14,2,9,3,228124,3,8,3,107955,108847,3,8,3,-120169,0
v006,fast-v19,SNAP,15,0,15,0,0,0,12,3,547839,183600,0,12,3,547839,0
v006,fast-v19,T1,15,5,10,0,108,1,12,2,5,6,6,7,2,-103,0
v006,fast-v19,T2,15,6,9,0,2325,0,15,0,0,0,6,9,0,-2325,0
v006,fast-v19,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
