Instance,PeakMem(MB),Time(s)
eu-2005.clq,594.51,out_of_time
in-2004.clq,636.65,3611.00
ldoor.clq,826.25,out_of_time
uk-2002.clq,10121.91,out_of_time
as-22july06.clq,4.36,0.39
