Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.34,0.29
Wiki-Vote.clq,4.09,0.29
Cit-HepTh.clq,15.71,3600.34
Amazon0302.clq,84.63,3651.01
Slashdot0902.clq,31.23,3600.41
