Instance,PeakMem(MB),Time(s)
UDG_50_150_0.wclq,0.00,0.31
UDG_500_150_3.wclq,1.58,0.31
UDG_800_200_8.wclq,1.32,0.31
UDG_1000_200_8.wclq,2.87,3599.99
UDG_100_200_1.wclq,0.00,0.31
