Instance,PeakMem(MB),Time(s)
frb50-23-3.clq,10.34,1.67
frb40-19-1.clq,5.27,1.34
frb30-15-1.clq,2.70,0.34
frb56-25-1.clq,15.03,2.26
frb56-25-4.clq,14.77,2.49
