Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.34,0.30
Wiki-Vote.clq,2.09,0.31
Cit-HepTh.clq,13.43,3605.57
Amazon0302.clq,76.86,3663.86
Slashdot0902.clq,28.77,3604.60
