Instance,PeakMem(MB),Time(s)
eu-2005.clq,445.25,out_of_time
in-2004.clq,525.73,out_of_time
ldoor.clq,565.09,out_of_time
uk-2002.clq,8304.37,out_of_time
as-22july06.clq,7.34,0.29
