candidate,solver,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
v009,deep-v6,102,9,77,16,-9170,6,87,9,20203,22131,11,73,18,29373,0
v009,fast-v19,105,13,88,4,232824,3,93,9,662933,183600,14,82,9,430109,0
