Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.33,0.30
Wiki-Vote.clq,3.88,0.30
Cit-HepTh.clq,13.41,3628.18
Amazon0302.clq,79.95,3666.29
Slashdot0902.clq,28.77,3604.75
