solver,seed,instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,gap_10s,gap_30s,gap_60s,gap_120s,gap_300s,n_rounds
v10-T1,1,T1_1000_1000_1.wclq,1000,1000,10154,10154,10936,10490,0.03309,OK,-1,-1,-1,-1,-1,2
v10-T1,1,T1_1000_20000_0.wclq,1000,20000,408,470,1510,1197,1.546809,OK,1.546809,1.546809,1.546809,1.546809,-1,2
v10-T1,1,T1_1000_5000_8.wclq,1000,5000,2275,2545,4514,3602,0.415324,OK,0.415324,0.415324,0.415324,0.415324,-1,2
v10-T1,1,T1_100_1000_2.wclq,100,1000,101,122,209,203,0.663934,OK,0.663934,0.663934,0.663934,0.663934,-1,2
v10-T1,1,T1_100_100_5.wclq,100,100,1000,1000,1001,1001,0.001,OK,0.001,0.001,0.001,0.001,0.001,713
v10-T1,1,T1_100_100_7.wclq,100,100,1032,1032,1084,1059,0.026163,OK,-1,-1,-1,-1,-1,1
v10-T1,1,T1_150_150_5.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,-1,-1,-1,-1,-1,333
v10-T1,1,T1_150_250_3.wclq,150,250,1170,1171,1329,1242,0.060632,OK,0.060632,0.060632,0.060632,0.060632,-1,2
v10-T1,1,T1_150_500_5.wclq,150,500,538,570,746,688,0.207018,OK,0.207018,0.207018,0.207018,0.207018,-1,2
v10-T1,1,T1_200_250_2.wclq,200,250,1823,1828,1969,1898,0.038293,OK,0.038293,0.038293,0.038293,0.038293,-1,2
v10-T1,1,T1_200_500_7.wclq,200,500,1067,1099,1324,1214,0.104641,OK,0.104641,0.104641,0.104641,0.104641,-1,2
v10-T1,1,T1_250_3000_1.wclq,250,3000,193,223,505,425,0.90583,OK,0.90583,0.90583,0.90583,0.90583,-1,2
v10-T1,1,T1_250_500_3.wclq,250,500,1613,1625,1950,1789,0.100923,OK,0.100923,0.100923,0.100923,0.100923,-1,2
v10-T1,1,T1_250_500_7.wclq,250,500,1645,1685,1954,1817,0.078338,OK,0.078338,0.078338,0.078338,0.078338,-1,2
v10-T1,1,T1_250_500_8.wclq,250,500,1626,1665,2009,1818,0.091892,OK,0.091892,0.091892,0.091892,0.091892,-1,2
v10-T1,1,T1_250_750_1.wclq,250,750,1102,1140,1487,1331,0.167544,OK,0.167544,0.167544,0.167544,0.167544,-1,2
v10-T1,1,T1_300_2000_5.wclq,300,2000,493,571,1039,864,0.513135,OK,0.513135,0.513135,0.513135,0.513135,-1,2
v10-T1,1,T1_300_5000_3.wclq,300,5000,160,191,478,418,1.188482,OK,1.188482,1.188482,1.188482,1.188482,-1,2
v10-T1,1,T1_300_5000_4.wclq,300,5000,153,187,446,411,1.197861,OK,1.197861,1.197861,1.197861,1.197861,-1,2
v10-T1,1,T1_500_10000_4.wclq,500,10000,208,252,703,587,1.329365,OK,1.329365,1.329365,1.329365,1.329365,-1,2
v10-T1,1,T1_500_5000_3.wclq,500,5000,532,604,1293,1049,0.736755,OK,0.736755,0.736755,0.736755,0.736755,-1,2
v10-T1,1,T1_500_500_9.wclq,500,500,5164,5164,5585,5395,0.044733,OK,0.044733,0.044733,0.044733,0.044733,-1,2
v10-T1,1,T1_50_1000_7.wclq,50,1000,23,23,40,40,0.73913,OK,0.73913,0.73913,0.73913,0.73913,-1,2
v10-T1,1,T1_50_500_5.wclq,50,500,49,54,92,92,0.703704,OK,-1,-1,-1,-1,-1,1
v10-T1,1,T1_50_500_9.wclq,50,500,55,57,102,99,0.736842,OK,-1,-1,-1,-1,-1,1
v10-T1,1,T1_50_50_5.wclq,50,50,517,517,517,517,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T1,1,T1_50_50_7.wclq,50,50,503,503,503,503,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T1,1,T1_50_50_9.wclq,50,50,520,521,521,521,0.0,OPT,-1,-1,-1,-1,-1,144
v10-T1,1,T1_50_750_6.wclq,50,750,34,34,61,61,0.794118,OK,0.794118,0.794118,0.794118,0.794118,-1,2
v10-T1,1,T1_800_10000_2.wclq,800,10000,595,681,1744,1430,1.099853,OK,1.099853,1.099853,1.099853,1.099853,-1,2
v10-T1,1,T1_800_10000_7.wclq,800,10000,587,681,1781,1419,1.0837,OK,1.0837,1.0837,1.0837,1.0837,-1,2
