Instance,PeakMem(MB),Time(s)
eu-2005.clq,464.91,3711.78
in-2004.clq,548.19,out_of_time
ldoor.clq,577.71,out_of_time
uk-2002.clq,8310.36,out_of_time
as-22july06.clq,6.39,0.34
