Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.33,0.29
Wiki-Vote.clq,4.94,0.31
Cit-HepTh.clq,17.50,3601.10
Amazon0302.clq,94.12,3679.35
Slashdot0902.clq,37.01,3600.47
