Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,528.96,out_of_time
tech-ip.clq,873.40,3692.88
wikipedia_link_en.clq,7375.23,3654.19
sc-rel9.clq,1752.62,out_of_time
