Instance,PeakMem(MB),Time(s)
frb50-23-3.clq,19.11,3600.73
frb40-19-1.clq,8.80,3600.42
frb30-15-1.clq,3.90,0.37
frb56-25-1.clq,26.84,3601.04
frb56-25-4.clq,26.59,3601.01
