candidate,family,instance,solver,seed,dbs_best_lb,dbs_verified_ub,dbs_gap,dbs_solver_opt,controller_best_lb,controller_verified_ub,controller_gap,controller_solver_opt,delta_lb_controller_minus_dbs,delta_ub_controller_minus_dbs,delta_gap_controller_minus_dbs,delta_opt_controller_minus_dbs
refctl,DIMACS,p_hat300-2.clq,deep-v6,3,29,31,2,0,29,31,2,0,0,0,0,0
refctl,DIMACS,p_hat300-2.clq,fast-v19,1,29,31,2,0,29,31,2,0,0,0,0,0
refctl,DIMACS,p_hat300-2.clq,fast-v19,2,29,31,2,0,29,31,2,0,0,0,0,0
refctl,DIMACS,p_hat300-2.clq,fast-v19,3,29,31,2,0,29,31,2,0,0,0,0,0
refctl,T1,T1_1000_1000_2.wclq,deep-v6,1,10397,10774,377,0,10404,10776,372,0,7,2,-5,0
refctl,T1,T1_1000_1000_2.wclq,deep-v6,2,10368,10772,404,0,10382,10775,393,0,14,3,-11,0
refctl,T1,T1_1000_1000_2.wclq,deep-v6,3,10404,10777,373,0,10410,10775,365,0,6,-2,-8,0
refctl,T1,T1_1000_1000_2.wclq,fast-v19,1,10251,10784,533,0,10251,10784,533,0,0,0,0,0
refctl,T1,T1_1000_1000_2.wclq,fast-v19,2,10251,10783,532,0,10251,10779,528,0,0,-4,-4,0
refctl,T1,T1_1000_1000_2.wclq,fast-v19,3,10251,10785,534,0,10251,10785,534,0,0,0,0,0
refctl,T1,T1_100_100_2.wclq,deep-v6,1,1036,1039,3,0,1036,1039,3,0,0,0,0,0
refctl,T1,T1_100_100_2.wclq,deep-v6,2,1036,1039,3,0,1036,1039,3,0,0,0,0,0
refctl,T1,T1_100_100_2.wclq,deep-v6,3,1036,1039,3,0,1035,1039,4,0,-1,0,1,0
refctl,T1,T1_100_100_2.wclq,fast-v19,1,1022,1039,17,0,1022,1039,17,0,0,0,0,0
refctl,T1,T1_100_100_2.wclq,fast-v19,2,1022,1039,17,0,1022,1039,17,0,0,0,0,0
refctl,T1,T1_100_100_2.wclq,fast-v19,3,1022,1039,17,0,1022,1039,17,0,0,0,0,0
refctl,T1,T1_200_2000_8.wclq,deep-v6,1,227,416,189,0,219,416,197,0,-8,0,8,0
refctl,T1,T1_200_2000_8.wclq,deep-v6,2,217,416,199,0,221,416,195,0,4,0,-4,0
refctl,T1,T1_200_2000_8.wclq,deep-v6,3,216,416,200,0,219,416,197,0,3,0,-3,0
refctl,T1,T1_200_2000_8.wclq,fast-v19,1,207,416,209,0,231,416,185,0,24,0,-24,0
refctl,T1,T1_200_2000_8.wclq,fast-v19,2,207,416,209,0,233,416,183,0,26,0,-26,0
refctl,T1,T1_200_2000_8.wclq,fast-v19,3,206,416,210,0,222,416,194,0,16,0,-16,0
refctl,T1,T1_200_250_7.wclq,deep-v6,1,1885,1937,52,0,1881,1937,56,0,-4,0,4,0
refctl,T1,T1_200_250_7.wclq,deep-v6,2,1881,1937,56,0,1882,1937,55,0,1,0,-1,0
refctl,T1,T1_200_250_7.wclq,deep-v6,3,1878,1937,59,0,1883,1937,54,0,5,0,-5,0
refctl,T1,T1_200_250_7.wclq,fast-v19,1,1833,1937,104,0,1833,1937,104,0,0,0,0,0
refctl,T1,T1_200_250_7.wclq,fast-v19,2,1833,1937,104,0,1834,1937,103,0,1,0,-1,0
refctl,T1,T1_200_250_7.wclq,fast-v19,3,1833,1937,104,0,1853,1937,84,0,20,0,-20,0
refctl,T1,T1_50_1000_0.wclq,deep-v6,1,28,40,12,0,28,40,12,0,0,0,0,0
refctl,T1,T1_50_1000_0.wclq,deep-v6,2,28,40,12,0,28,40,12,0,0,0,0,0
refctl,T1,T1_50_1000_0.wclq,deep-v6,3,28,40,12,0,28,40,12,0,0,0,0,0
refctl,T1,T1_50_1000_0.wclq,fast-v19,1,28,40,12,0,28,40,12,0,0,0,0,0
refctl,T1,T1_50_1000_0.wclq,fast-v19,2,28,40,12,0,28,40,12,0,0,0,0,0
refctl,T1,T1_50_1000_0.wclq,fast-v19,3,28,40,12,0,28,40,12,0,0,0,0,0
refctl,T2,T2_1000_20000_9.wclq,deep-v6,1,5927,7177,1250,0,5904,7177,1273,0,-23,0,23,0
refctl,T2,T2_1000_20000_9.wclq,deep-v6,2,6010,7177,1167,0,5948,7177,1229,0,-62,0,62,0
refctl,T2,T2_1000_20000_9.wclq,deep-v6,3,6031,7177,1146,0,5953,7177,1224,0,-78,0,78,0
refctl,T2,T2_1000_20000_9.wclq,fast-v19,1,5343,7177,1834,0,6101,7177,1076,0,758,0,-758,0
refctl,T2,T2_1000_20000_9.wclq,fast-v19,2,5343,7177,1834,0,6114,7177,1063,0,771,0,-771,0
refctl,T2,T2_1000_20000_9.wclq,fast-v19,3,5343,7177,1834,0,6124,7177,1053,0,781,0,-781,0
refctl,T2,T2_150_2000_1.wclq,deep-v6,1,513,598,85,0,503,598,95,0,-10,0,10,0
refctl,T2,T2_150_2000_1.wclq,deep-v6,2,509,598,89,0,512,598,86,0,3,0,-3,0
refctl,T2,T2_150_2000_1.wclq,deep-v6,3,512,598,86,0,509,598,89,0,-3,0,3,0
refctl,T2,T2_150_2000_1.wclq,fast-v19,1,503,598,95,0,508,598,90,0,5,0,-5,0
refctl,T2,T2_150_2000_1.wclq,fast-v19,2,503,598,95,0,508,598,90,0,5,0,-5,0
refctl,T2,T2_150_2000_1.wclq,fast-v19,3,503,598,95,0,508,598,90,0,5,0,-5,0
refctl,T2,T2_250_2000_3.wclq,deep-v6,1,1059,1183,124,0,1055,1183,128,0,-4,0,4,0
refctl,T2,T2_250_2000_3.wclq,deep-v6,2,1043,1183,140,0,1056,1183,127,0,13,0,-13,0
refctl,T2,T2_250_2000_3.wclq,deep-v6,3,1057,1183,126,0,1053,1183,130,0,-4,0,4,0
refctl,T2,T2_250_2000_3.wclq,fast-v19,1,1003,1183,180,0,1003,1183,180,0,0,0,0,0
refctl,T2,T2_250_2000_3.wclq,fast-v19,2,1003,1183,180,0,1003,1183,180,0,0,0,0,0
refctl,T2,T2_250_2000_3.wclq,fast-v19,3,1003,1183,180,0,1003,1183,180,0,0,0,0,0
refctl,T2,T2_250_250_8.wclq,deep-v6,1,306,306,0,1,306,306,0,1,0,0,0,0
refctl,T2,T2_250_250_8.wclq,deep-v6,2,306,306,0,1,306,306,0,1,0,0,0,0
refctl,T2,T2_250_250_8.wclq,deep-v6,3,306,306,0,1,306,306,0,1,0,0,0,0
refctl,T2,T2_250_250_8.wclq,fast-v19,1,306,306,0,1,306,306,0,1,0,0,0,0
refctl,T2,T2_250_250_8.wclq,fast-v19,2,306,306,0,1,306,306,0,1,0,0,0,0
refctl,T2,T2_250_250_8.wclq,fast-v19,3,306,306,0,1,306,306,0,1,0,0,0,0
refctl,T2,T2_50_1000_6.wclq,deep-v6,1,11,11,0,1,11,11,0,1,0,0,0,0
refctl,T2,T2_50_1000_6.wclq,deep-v6,2,11,11,0,1,11,11,0,1,0,0,0,0
refctl,T2,T2_50_1000_6.wclq,deep-v6,3,11,11,0,1,11,11,0,1,0,0,0,0
refctl,T2,T2_50_1000_6.wclq,fast-v19,1,11,11,0,1,11,11,0,1,0,0,0,0
refctl,T2,T2_50_1000_6.wclq,fast-v19,2,11,11,0,1,11,11,0,1,0,0,0,0
refctl,T2,T2_50_1000_6.wclq,fast-v19,3,11,11,0,1,11,11,0,1,0,0,0,0
refctl,UDG,UDG_1000_200_8.wclq,deep-v6,1,38,41,3,0,38,41,3,0,0,0,0,0
refctl,UDG,UDG_1000_200_8.wclq,deep-v6,2,38,41,3,0,38,41,3,0,0,0,0,0
refctl,UDG,UDG_1000_200_8.wclq,deep-v6,3,38,41,3,0,38,41,3,0,0,0,0,0
refctl,UDG,UDG_1000_200_8.wclq,fast-v19,1,38,41,3,0,38,41,3,0,0,0,0,0
refctl,UDG,UDG_1000_200_8.wclq,fast-v19,2,38,41,3,0,38,41,3,0,0,0,0,0
refctl,UDG,UDG_1000_200_8.wclq,fast-v19,3,38,41,3,0,38,41,3,0,0,0,0,0
refctl,UDG,UDG_100_200_1.wclq,deep-v6,1,210,210,0,1,210,210,0,1,0,0,0,0
refctl,UDG,UDG_100_200_1.wclq,deep-v6,2,210,210,0,1,210,210,0,1,0,0,0,0
refctl,UDG,UDG_100_200_1.wclq,deep-v6,3,210,210,0,1,210,210,0,1,0,0,0,0
refctl,UDG,UDG_100_200_1.wclq,fast-v19,1,210,210,0,1,210,210,0,1,0,0,0,0
refctl,UDG,UDG_100_200_1.wclq,fast-v19,2,210,210,0,1,210,210,0,1,0,0,0,0
