candidate,solver,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
refctl,deep-v6,75,9,56,10,-141,1,72,2,3,3,9,56,10,144,0
refctl,fast-v19,75,11,64,0,2412,1,74,0,-4,0,12,63,0,-2416,0
