Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.34,0.44
Wiki-Vote.clq,4.38,0.44
Cit-HepTh.clq,13.43,3607.90
Amazon0302.clq,76.86,3638.29
Slashdot0902.clq,28.77,3605.13
