Instance,PeakMem(MB),Time(s)
frb50-23-3.clq,10.34,1.48
frb40-19-1.clq,5.27,1.07
frb30-15-1.clq,2.70,0.26
frb56-25-1.clq,14.84,2.00
frb56-25-4.clq,15.02,2.16
