Instance,PeakMem(MB),Time(s)
UDG_50_150_0.wclq,1.05,0.23
UDG_500_150_3.wclq,1.57,0.30
UDG_800_200_8.wclq,1.32,0.36
UDG_1000_200_8.wclq,2.49,333.08
UDG_100_200_1.wclq,1.06,0.31
