Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,526.29,out_of_time
web-it-2004.clq,303.14,3603.14
tech-ip.clq,1033.63,out_of_time
wikipedia_link_en.clq,7403.95,3663.38
sc-rel9.clq,1796.06,out_of_time
