Instance,PeakMem(MB),Time(s)
T2_250_250_8.wclq,0.00,0.22
T2_1000_20000_9.wclq,1.93,3600.22
T2_150_2000_1.wclq,1.32,3600.23
T2_50_1000_6.wclq,0.01,0.22
T2_250_2000_3.wclq,1.32,3600.22
