Instance,PeakMem(MB),Time(s)
UDG_50_150_0.wclq,0.00,0.22
UDG_500_150_3.wclq,1.57,0.22
UDG_800_200_8.wclq,1.83,0.23
UDG_1000_200_8.wclq,2.49,334.96
UDG_100_200_1.wclq,0.00,0.22
