candidate,solver,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
baseline,deep-v6,75,0,75,0,0,0,75,0,0,0,0,75,0,0,0
baseline,fast-v19,75,9,58,8,72,0,72,3,9,4,9,58,8,-63,0
