instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,1,20260513101659,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,4,fast-v19,BHOSLIB,1,20260513101659,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,fast-v19,BHOSLIB,1,20260513101659,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,4,fast-v19,BHOSLIB,1,20260513101659,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,3,fast-v19,BHOSLIB,1,20260513101659,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,2,20260513101659,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,6,fast-v19,BHOSLIB,2,20260513101659,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,3,fast-v19,BHOSLIB,2,20260513101659,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,2,fast-v19,BHOSLIB,2,20260513101659,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,2,fast-v19,BHOSLIB,2,20260513101659,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,3,20260513101659,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,7,fast-v19,BHOSLIB,3,20260513101659,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,fast-v19,BHOSLIB,3,20260513101659,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,2,fast-v19,BHOSLIB,3,20260513101659,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,4,fast-v19,BHOSLIB,3,20260513101659,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,4,20260513101812,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,8,fast-v19,BHOSLIB,4,20260513101812,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,fast-v19,BHOSLIB,4,20260513101812,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,4,fast-v19,BHOSLIB,4,20260513101812,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,2,fast-v19,BHOSLIB,4,20260513101812,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,5,20260513101931,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,4,fast-v19,BHOSLIB,5,20260513101931,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,fast-v19,BHOSLIB,5,20260513101931,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,2,fast-v19,BHOSLIB,5,20260513101931,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,3,fast-v19,BHOSLIB,5,20260513101931,0
as-22july06.clq,22963,48436,166420,166420,166420,166420,0.0,OPT,1,fast-v19,DIMACS10,1,20260513102057,0
as-22july06.clq,22963,48436,166420,166420,166420,166420,0.0,OPT,1,fast-v19,DIMACS10,2,20260513102216,0
as-22july06.clq,22963,48436,166420,166420,166420,166420,0.0,OPT,1,fast-v19,DIMACS10,3,20260513102336,0
eu-2005.clq,862664,16138468,2779366,2779366,2821246,2845474,0.02378528052800531,OK,1,fast-v19,DIMACS10,3,20260513102336,0
as-22july06.clq,22963,48436,166420,166420,166420,166420,0.0,OPT,1,fast-v19,DIMACS10,4,20260513102734,0
as-22july06.clq,22963,48436,166420,166420,166420,166420,0.0,OPT,1,fast-v19,DIMACS10,5,20260513111202,0
tech-ip.clq,2250498,21643497,2094,2124,2393,2337,0.10028248587570622,OK,5,fast-v19,NDR,1,20260513112418,30
web-it-2004.clq,509338,7178413,2567317,2567317,2567728,2567630,0.00012191716098946878,OK,10,fast-v19,NDR,1,20260513112418,0
