Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,517.13,out_of_time
web-it-2004.clq,229.96,3678.62
tech-ip.clq,865.16,3696.75
wikipedia_link_en.clq,7354.19,out_of_time
sc-rel9.clq,1738.92,out_of_time
