Instance,PeakMem(MB),Time(s)
UDG_50_150_0.wclq,0.00,0.23
UDG_500_150_3.wclq,1.58,0.23
UDG_800_200_8.wclq,2.35,0.23
UDG_1000_200_8.wclq,2.87,3600.12
UDG_100_200_1.wclq,1.07,0.23
