Instance,PeakMem(MB),Time(s)
T2_250_250_8.wclq,1.06,0.24
T2_1000_20000_9.wclq,1.99,3602.76
T2_150_2000_1.wclq,1.50,out_of_time
T2_50_1000_6.wclq,1.06,0.24
T2_250_2000_3.wclq,1.52,1200.71
