instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
uk-2002.clq,18520486,261787258,100098421,100167719,101051334,100886458,0.007175355565399268,OK,3,deep-v6,DIMACS10,5,20260517223507,69298
inf-roadNet-CA.clq,0,0,46674575,46674575,55045761,55045761,0.17935216335660262,TIMEOUT,1,deep-v6,NDR,1,20260517225234,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,deep-v6,NDR,1,20260517225234,0
tech-ip.clq,2250498,21643497,2094,2198,2393,2327,0.058689717925386714,OK,9,deep-v6,NDR,1,20260517225234,104
web-it-2004.clq,509338,7178413,2567317,2567318,2567607,2567518,7.790230894653487e-05,OK,21,deep-v6,NDR,1,20260517225234,1
wikipedia_link_en.clq,27154756,31024475,2408968440,2408968440,2408968585,2408968576,5.645570018343619e-08,OK,18,deep-v6,NDR,1,20260517225234,0
inf-roadNet-CA.clq,0,0,46674575,46674575,55045761,55045761,0.17935216335660262,TIMEOUT,1,deep-v6,NDR,2,20260517225713,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,deep-v6,NDR,2,20260517225713,0
tech-ip.clq,2250498,21643497,2094,2214,2393,2279,0.02935862691960253,OK,9,deep-v6,NDR,2,20260517225713,120
web-it-2004.clq,509338,7178413,2567317,2567318,2567607,2567518,7.790230894653487e-05,OK,21,deep-v6,NDR,2,20260517225713,1
wikipedia_link_en.clq,27154756,31024475,2408968440,2408968440,2408968585,2408968576,5.645570018343619e-08,OK,19,deep-v6,NDR,2,20260517225713,0
inf-roadNet-CA.clq,0,0,46674575,46674575,55045761,55045761,0.17935216335660262,TIMEOUT,1,deep-v6,NDR,3,20260517230151,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,deep-v6,NDR,3,20260517230151,0
tech-ip.clq,2250498,21643497,2094,2206,2393,2282,0.03445149592021759,OK,9,deep-v6,NDR,3,20260517230151,112
web-it-2004.clq,509338,7178413,2567317,2567318,2567607,2567461,5.570015089677243e-05,OK,23,deep-v6,NDR,3,20260517230151,1
wikipedia_link_en.clq,27154756,31024475,2408968440,2408968440,2408968585,2408968569,5.354989208575933e-08,OK,21,deep-v6,NDR,3,20260517230151,0
inf-roadNet-CA.clq,0,0,46674575,46674575,55045761,55045761,0.17935216335660262,TIMEOUT,1,deep-v6,NDR,4,20260517231222,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,deep-v6,NDR,4,20260517231222,0
tech-ip.clq,2250498,21643497,2094,2188,2393,2323,0.06170018281535649,OK,9,deep-v6,NDR,4,20260517231222,94
web-it-2004.clq,509338,7178413,2567317,2567318,2567607,2567518,7.790230894653487e-05,OK,20,deep-v6,NDR,4,20260517231222,1
wikipedia_link_en.clq,27154756,31024475,2408968440,2408968440,2408968585,2408968576,5.645570018343619e-08,OK,17,deep-v6,NDR,4,20260517231222,0
inf-roadNet-CA.clq,0,0,46674575,46674575,55045761,55045761,0.17935216335660262,TIMEOUT,1,deep-v6,NDR,5,20260517231223,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,deep-v6,NDR,5,20260517231223,0
tech-ip.clq,2250498,21643497,2094,2200,2393,2328,0.05818181818181818,OK,9,deep-v6,NDR,5,20260517231223,106
web-it-2004.clq,509338,7178413,2567317,2567318,2567607,2567499,7.050158959661405e-05,OK,23,deep-v6,NDR,5,20260517231223,1
wikipedia_link_en.clq,27154756,31024475,2408968440,2408968440,2408968585,2408968576,5.645570018343619e-08,OK,21,deep-v6,NDR,5,20260517231223,0
Amazon0302.clq,0,0,2266893,2266893,2464962,2379518,0.04968253905235051,TIMEOUT,4,deep-v6,SNAP,1,20260517231331,0
Cit-HepTh.clq,27769,352285,213028,213028,215634,214460,0.006722121035732392,OK,8,deep-v6,SNAP,1,20260517231331,0
Slashdot0902.clq,82168,504230,1142491,1142491,1143048,1142995,0.0004411413306538082,OK,85,deep-v6,SNAP,1,20260517231331,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,deep-v6,SNAP,1,20260517231331,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,deep-v6,SNAP,1,20260517231331,0
Amazon0302.clq,0,0,2266893,2266893,2464962,2377719,0.048888941824779555,TIMEOUT,4,deep-v6,SNAP,2,20260517231331,0
Cit-HepTh.clq,27769,352285,213028,213028,215634,214415,0.006510881198715662,OK,8,deep-v6,SNAP,2,20260517231331,0
Slashdot0902.clq,82168,504230,1142491,1142491,1143048,1143000,0.00044551773274362775,OK,87,deep-v6,SNAP,2,20260517231331,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,deep-v6,SNAP,2,20260517231331,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,deep-v6,SNAP,2,20260517231331,0
