dataset,instance,runs,best_lb_min,best_lb_mean,best_lb_median,best_lb_max,best_lb_std,lb_gain_mean,lb_gain_median,lb_gain_std,gap_mean,gap_median,baseline_repeats,baseline_has_lb_summary,baseline_best_lb_mean,delta_best_lb_vs_baseline,baseline_value_mean
BHOSLIB,frb30-15-1.clq,5,4,4.0,4,4,0.0,0.0,0,0.0,0.0,0.0,,,,,
BHOSLIB,frb40-19-1.clq,5,4,4.0,4,4,0.0,1.0,1,0.0,0.25,0.25,,,,,
BHOSLIB,frb50-23-3.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,0.0,0.0,,,,,
BHOSLIB,frb56-25-1.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,0.0,0.0,,,,,
BHOSLIB,frb56-25-4.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,0.0,0.0,,,,,
DIMACS,C4000.5.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,2.0,2.0,,,,,
DIMACS,DSJC500_5.clq,5,12,12.0,12,12,0.0,1.0,1,0.0,0.3333333333333333,0.3333333333333333,,,,,
DIMACS,gen200_p0.9_55.clq,5,5,5.0,5,5,0.0,0.0,0,0.0,0.2,0.2,,,,,
DIMACS,hamming6-2.clq,5,5,5.0,5,5,0.0,0.0,0,0.0,0.0,0.0,,,,,
DIMACS,p_hat300-2.clq,5,29,29.0,29,29,0.0,0.0,0,0.0,0.06896551724137931,0.06896551724137931,,,,,
DIMACS10,as-22july06.clq,5,166420,166420.0,166420,166420,0.0,0.0,0,0.0,0.0,0.0,,,,,
DIMACS10,eu-2005.clq,5,2779417,2779417.0,2779417,2779417,0.0,0.0,0,0.0,0.011376414550245609,0.011208465660244577,,,,,
DIMACS10,in-2004.clq,5,7394560,7394680.8,7394695,7394836,104.69813751925102,2988.8,3003,104.69813751925102,0.0029869852722858243,0.0029837606554428547,,,,,
DIMACS10,ldoor.clq,5,980060,980060.0,980060,980060,0.0,0.0,0,0.0,0.18365038875170908,0.1836479399220456,,,,,
DIMACS10,uk-2002.clq,5,100167719,100171711.8,100172395,100175859,3416.14683525167,72878.8,74222,3316.122313787596,0.0070610399478603,0.007056674645744469,,,,,
NDR,inf-roadNet-CA.clq,5,46674575,46674575.0,46674575,46674575,0.0,0.0,0,0.0,0.17935216335660262,0.17935216335660262,,,,,
NDR,sc-rel9.clq,5,6236434,6236434.0,6236434,6236434,0.0,0.0,0,0.0,1.2934322723530787,1.2934322723530787,,,,,
NDR,tech-ip.clq,5,2188,2201.2,2200,2214,9.654014708917737,107.2,106,9.654014708917737,0.048476368352476304,0.05818181818181818,,,,,
NDR,web-it-2004.clq,5,2567318,2567318.0,2567318,2567318,0.0,1.0,1,0.0,7.198173346659822e-05,7.790230894653487e-05,,,,,
NDR,wikipedia_link_en.clq,5,2408968440,2408968440.0,2408968440,2408968440,0.0,0.0,0,0.0,5.587453856390082e-08,5.645570018343619e-08,,,,,
SNAP,Amazon0302.clq,5,2266893,2266893.0,2266893,2266893,0.0,0.0,0,0.0,0.049244494557087605,0.04908745141477785,,,,,
SNAP,Cit-HepTh.clq,5,213028,213028.0,213028,213028,0.0,0.0,0,0.0,0.006707099536211203,0.006722121035732392,,,,,
SNAP,Slashdot0902.clq,5,1142491,1142491.0,1142491,1142491,0.0,0.0,0,0.0,0.00044481750840925656,0.0004437671719076999,,,,,
SNAP,Wiki-Vote.clq,5,86402,86402.0,86402,86402,0.0,0.0,0,0.0,0.0,0.0,,,,,
SNAP,p2p-Gnutella25.clq,5,377449,377449.0,377449,377449,0.0,0.0,0,0.0,0.0,0.0,,,,,
T1,T1_1000_1000_2.wclq,5,10318,10318.0,10318,10318,0.0,0.0,0,0.0,0.04386509013374685,0.04390385733669316,,,,,
T1,T1_100_100_2.wclq,5,1027,1030.2,1030,1033,2.7748873851023217,3.2,3,2.7748873851023217,0.008547884345758004,0.008737864077669903,,,,,
T1,T1_200_2000_8.wclq,5,236,238.0,238,241,1.8708286933869707,40.0,40,1.8708286933869707,0.7479851048352122,0.7478991596638656,,,,,
T1,T1_200_250_7.wclq,5,1873,1875.8,1875,1880,2.588435821108957,27.8,27,2.588435821108957,0.032627650968111745,0.03306666666666667,,,,,
T1,T1_50_1000_0.wclq,5,40,40.0,40,40,0.0,0.0,0,0.0,0.0,0.0,,,,,
T2,T2_1000_20000_9.wclq,5,6115,6147.8,6154,6167,19.967473550752484,804.8,811,19.967473550752484,0.1674193589901145,0.16623334416639585,,,,,
T2,T2_150_2000_1.wclq,5,526,528.6,528,531,2.3021728866442674,25.6,25,2.302172886644268,0.1313073587005104,0.13257575757575757,,,,,
T2,T2_250_2000_3.wclq,5,1060,1061.8,1062,1064,1.7888543819998317,58.8,59,1.7888543819998317,0.11414831990210712,0.11393596986817325,,,,,
T2,T2_250_250_8.wclq,5,306,306.0,306,306,0.0,0.0,0,0.0,0.0,0.0,,,,,
T2,T2_50_1000_6.wclq,5,11,11.0,11,11,0.0,0.0,0,0.0,0.0,0.0,,,,,
UDG,UDG_1000_200_8.wclq,5,39,39.0,39,39,0.0,1.0,1,0.0,0.05128205128205128,0.05128205128205128,,,,,
UDG,UDG_100_200_1.wclq,5,210,210.0,210,210,0.0,0.0,0,0.0,0.0,0.0,,,,,
UDG,UDG_500_150_3.wclq,5,162,162.0,162,162,0.0,0.0,0,0.0,0.0,0.0,,,,,
UDG,UDG_50_150_0.wclq,5,462,462.0,462,462,0.0,0.0,0,0.0,0.0,0.0,,,,,
UDG,UDG_800_200_8.wclq,5,39,39.0,39,39,0.0,0.0,0,0.0,0.0,0.0,,,,,
