Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.34,0.27
Wiki-Vote.clq,4.15,0.27
Cit-HepTh.clq,15.96,3601.10
Amazon0302.clq,84.78,3687.89
Slashdot0902.clq,31.49,3600.39
