Instance,PeakMem(MB),Time(s)
UDG_50_150_0.wclq,1.06,0.22
UDG_500_150_3.wclq,1.57,0.23
UDG_800_200_8.wclq,1.32,0.24
UDG_1000_200_8.wclq,2.25,1.93
UDG_100_200_1.wclq,0.00,0.22
