instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
uk-2002.clq,0,0,100067293,100067293,101060242,101060242,0.009922812641689028,TIMEOUT,1,fast-v19,DIMACS10,5,20260517223507,0
inf-roadNet-CA.clq,0,0,46547673,46547673,55329102,55329102,0.18865452199941338,TIMEOUT,1,fast-v19,NDR,1,20260517224754,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,fast-v19,NDR,1,20260517224754,0
tech-ip.clq,0,0,2094,2094,2393,2383,0.13801337153772683,TIMEOUT,3,fast-v19,NDR,1,20260517224754,0
web-it-2004.clq,0,0,2567317,2567317,2567728,2567630,0.00012191716098946878,TIMEOUT,11,fast-v19,NDR,1,20260517224754,0
wikipedia_link_en.clq,0,0,2408968440,2408968440,2408968784,2408968687,1.0253351430374073e-07,TIMEOUT,11,fast-v19,NDR,1,20260517224754,0
inf-roadNet-CA.clq,0,0,46547673,46547673,55329102,55329102,0.18865452199941338,TIMEOUT,1,fast-v19,NDR,2,20260517225343,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,fast-v19,NDR,2,20260517225343,0
tech-ip.clq,0,0,2094,2094,2393,2351,0.1227316141356256,TIMEOUT,5,fast-v19,NDR,2,20260517225343,0
web-it-2004.clq,509338,7178413,2567317,2567317,2567728,2567630,0.00012191716098946878,OK,12,fast-v19,NDR,2,20260517225343,0
wikipedia_link_en.clq,0,0,2408968440,2408968440,2408968784,2408968687,1.0253351430374073e-07,TIMEOUT,11,fast-v19,NDR,2,20260517225343,0
inf-roadNet-CA.clq,0,0,46547673,46547673,55329102,55329102,0.18865452199941338,TIMEOUT,1,fast-v19,NDR,3,20260517230150,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,fast-v19,NDR,3,20260517230150,0
tech-ip.clq,0,0,2094,2094,2393,2353,0.12368672397325692,TIMEOUT,5,fast-v19,NDR,3,20260517230150,0
web-it-2004.clq,509338,7178413,2567317,2567317,2567728,2567630,0.00012191716098946878,OK,12,fast-v19,NDR,3,20260517230150,0
wikipedia_link_en.clq,0,0,2408968440,2408968440,2408968784,2408968687,1.0253351430374073e-07,TIMEOUT,12,fast-v19,NDR,3,20260517230150,0
inf-roadNet-CA.clq,0,0,46547673,46547673,55329102,55329102,0.18865452199941338,TIMEOUT,1,fast-v19,NDR,4,20260517231223,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,fast-v19,NDR,4,20260517231223,0
tech-ip.clq,0,0,2094,2094,2393,2334,0.11461318051575932,TIMEOUT,4,fast-v19,NDR,4,20260517231223,0
web-it-2004.clq,509338,7178413,2567317,2567317,2567728,2567630,0.00012191716098946878,OK,11,fast-v19,NDR,4,20260517231223,0
wikipedia_link_en.clq,0,0,2408968440,2408968440,2408968784,2408968687,1.0253351430374073e-07,TIMEOUT,11,fast-v19,NDR,4,20260517231223,0
inf-roadNet-CA.clq,0,0,46547673,46547673,55329102,55329102,0.18865452199941338,TIMEOUT,1,fast-v19,NDR,5,20260517231223,0
sc-rel9.clq,0,0,6236434,6236434,14302839,14302839,1.2934322723530787,TIMEOUT,1,fast-v19,NDR,5,20260517231223,0
tech-ip.clq,0,0,2094,2094,2393,2327,0.11127029608404966,TIMEOUT,5,fast-v19,NDR,5,20260517231223,0
web-it-2004.clq,509338,7178413,2567317,2567317,2567728,2567630,0.00012191716098946878,OK,11,fast-v19,NDR,5,20260517231223,0
wikipedia_link_en.clq,0,0,2408968440,2408968440,2408968784,2408968687,1.0253351430374073e-07,TIMEOUT,11,fast-v19,NDR,5,20260517231223,0
Amazon0302.clq,262111,899792,2264711,2264711,2468631,2556160,0.12869147542445813,OK,1,fast-v19,SNAP,1,20260517231223,0
Cit-HepTh.clq,27769,352285,213014,213014,216122,214760,0.008196644352014422,OK,5,fast-v19,SNAP,1,20260517231223,0
Slashdot0902.clq,82168,504230,1142449,1142449,1143119,1143119,0.0005864594393272698,OK,35,fast-v19,SNAP,1,20260517231223,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,fast-v19,SNAP,1,20260517231223,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,fast-v19,SNAP,1,20260517231223,0
Amazon0302.clq,0,0,2264711,2264711,2468631,2468631,0.09004239393017476,TIMEOUT,1,fast-v19,SNAP,2,20260517231223,0
Cit-HepTh.clq,27769,352285,213014,213014,216122,214796,0.008365647328344616,OK,5,fast-v19,SNAP,2,20260517231223,0
Slashdot0902.clq,82168,504230,1142449,1142449,1143119,1143119,0.0005864594393272698,OK,35,fast-v19,SNAP,2,20260517231223,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,fast-v19,SNAP,2,20260517231223,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,fast-v19,SNAP,2,20260517231223,0
Amazon0302.clq,0,0,2264711,2264711,2468631,2468631,0.09004239393017476,TIMEOUT,1,fast-v19,SNAP,3,20260517231440,0
Cit-HepTh.clq,27769,352285,213014,213014,216122,214868,0.008703653281005004,OK,4,fast-v19,SNAP,3,20260517231440,0
Slashdot0902.clq,82168,504230,1142449,1142449,1143119,1143119,0.0005864594393272698,OK,39,fast-v19,SNAP,3,20260517231440,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,fast-v19,SNAP,3,20260517231440,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,fast-v19,SNAP,3,20260517231440,0
Amazon0302.clq,262111,899792,2264711,2264711,2468631,2555597,0.12844287858362502,OK,1,fast-v19,SNAP,4,20260517231923,0
Cit-HepTh.clq,27769,352285,213014,213014,216122,214734,0.00807458664688706,OK,4,fast-v19,SNAP,4,20260517231923,0
Slashdot0902.clq,82168,504230,1142449,1142449,1143119,1143119,0.0005864594393272698,OK,31,fast-v19,SNAP,4,20260517231923,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,fast-v19,SNAP,4,20260517231923,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,fast-v19,SNAP,4,20260517231923,0
Amazon0302.clq,262111,899792,2264711,2264711,2468631,2547174,0.1247236402348909,OK,1,fast-v19,SNAP,5,20260517232034,0
Cit-HepTh.clq,27769,352285,213014,213014,216122,214704,0.007933750833278564,OK,5,fast-v19,SNAP,5,20260517232034,0
Slashdot0902.clq,82168,504230,1142449,1142449,1143119,1143119,0.0005864594393272698,OK,37,fast-v19,SNAP,5,20260517232034,0
Wiki-Vote.clq,7115,100762,86402,86402,86402,86402,0.0,OPT,1,fast-v19,SNAP,5,20260517232034,0
p2p-Gnutella25.clq,22687,54705,377449,377449,377449,377449,0.0,OPT,1,fast-v19,SNAP,5,20260517232034,0
T1_1000_1000_2.wclq,1000,1000,10251,10251,11425,10784,0.0519949273241635,OK,10,fast-v19,T1,1,20260517232145,0
T1_100_100_2.wclq,0,0,1022,1028,1059,1039,0.010700389105058366,TIMEOUT,77,fast-v19,T1,1,20260517232145,6
T1_200_2000_8.wclq,0,0,198,241,461,416,0.7261410788381742,TIMEOUT,22,fast-v19,T1,1,20260517232145,43
T1_200_250_7.wclq,0,0,1833,1869,2011,1937,0.03638309256286784,TIMEOUT,81,fast-v19,T1,1,20260517232145,36
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,fast-v19,T1,1,20260517232145,0
T1_1000_1000_2.wclq,1000,1000,10251,10251,11425,10785,0.0520924787825578,OK,7,fast-v19,T1,2,20260517232519,0
T1_100_100_2.wclq,0,0,1022,1026,1059,1039,0.012670565302144249,TIMEOUT,80,fast-v19,T1,2,20260517232519,4
T1_200_2000_8.wclq,0,0,198,240,461,416,0.7333333333333333,TIMEOUT,29,fast-v19,T1,2,20260517232519,42
T1_200_250_7.wclq,0,0,1833,1879,2011,1937,0.030867482703565728,TIMEOUT,69,fast-v19,T1,2,20260517232519,46
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,fast-v19,T1,2,20260517232519,0
T1_1000_1000_2.wclq,1000,1000,10251,10251,11425,10782,0.05179982440737489,OK,8,fast-v19,T1,3,20260517232629,0
T1_100_100_2.wclq,0,0,1022,1027,1059,1039,0.011684518013631937,TIMEOUT,76,fast-v19,T1,3,20260517232629,5
T1_200_2000_8.wclq,0,0,198,241,461,416,0.7261410788381742,TIMEOUT,18,fast-v19,T1,3,20260517232629,43
T1_200_250_7.wclq,0,0,1833,1871,2011,1937,0.03527525387493319,TIMEOUT,67,fast-v19,T1,3,20260517232629,38
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,fast-v19,T1,3,20260517232629,0
T1_1000_1000_2.wclq,1000,1000,10251,10251,11425,10783,0.051897375865769195,OK,10,fast-v19,T1,4,20260517233002,0
T1_100_100_2.wclq,0,0,1022,1027,1059,1039,0.011684518013631937,TIMEOUT,76,fast-v19,T1,4,20260517233002,5
T1_200_2000_8.wclq,0,0,198,241,461,416,0.7261410788381742,TIMEOUT,33,fast-v19,T1,4,20260517233002,43
T1_200_250_7.wclq,0,0,1833,1871,2011,1937,0.03527525387493319,TIMEOUT,69,fast-v19,T1,4,20260517233002,38
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,fast-v19,T1,4,20260517233002,0
T1_1000_1000_2.wclq,1000,1000,10251,10251,11425,10781,0.05170227294898059,OK,7,fast-v19,T1,5,20260517233002,0
T1_100_100_2.wclq,0,0,1022,1027,1059,1039,0.011684518013631937,TIMEOUT,79,fast-v19,T1,5,20260517233002,5
T1_200_2000_8.wclq,0,0,198,237,461,416,0.7552742616033755,TIMEOUT,28,fast-v19,T1,5,20260517233002,39
T1_200_250_7.wclq,0,0,1833,1869,2011,1937,0.03638309256286784,TIMEOUT,69,fast-v19,T1,5,20260517233002,36
T1_50_1000_0.wclq,50,1000,40,40,40,40,0.0,OPT,1,fast-v19,T1,5,20260517233002,0
T2_1000_20000_9.wclq,1000,20000,5343,6120,7683,7177,0.1727124183006536,OK,17,fast-v19,T2,1,20260517233558,777
T2_150_2000_1.wclq,0,0,503,521,598,598,0.14779270633397312,TIMEOUT,24,fast-v19,T2,1,20260517233558,18
T2_250_2000_3.wclq,0,0,1003,1064,1224,1183,0.1118421052631579,TIMEOUT,32,fast-v19,T2,1,20260517233558,61
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,fast-v19,T2,1,20260517233558,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,fast-v19,T2,1,20260517233558,0
T2_1000_20000_9.wclq,1000,20000,5343,6119,7683,7177,0.17290406929236804,OK,18,fast-v19,T2,2,20260517233709,776
T2_150_2000_1.wclq,0,0,503,522,598,598,0.14559386973180077,TIMEOUT,21,fast-v19,T2,2,20260517233709,19
T2_250_2000_3.wclq,0,0,1003,1065,1224,1183,0.1107981220657277,TIMEOUT,25,fast-v19,T2,2,20260517233709,62
T2_250_250_8.wclq,250,250,306,306,306,306,0.0,OPT,1,fast-v19,T2,2,20260517233709,0
T2_50_1000_6.wclq,50,1000,11,11,11,11,0.0,OPT,1,fast-v19,T2,2,20260517233709,0
