candidate,solver,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
v005,deep-v6,102,16,71,15,-3551,7,88,7,24321,21586,20,67,15,27872,0
v005,fast-v19,104,8,90,6,230522,8,94,2,-210777,424,12,86,6,-441299,0
