candidate,solver,family,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
v005,deep-v6,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v005,deep-v6,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v005,deep-v6,DIMACS10,12,3,6,3,1296,1,9,2,716,443,3,6,3,-580,0
v005,deep-v6,SNAP,15,2,10,3,-4807,4,7,4,23608,21586,6,6,3,28415,0
v005,deep-v6,T1,15,7,4,4,-13,2,12,1,-3,2,7,4,4,10,0
v005,deep-v6,T2,15,3,7,5,-28,0,15,0,0,0,3,7,5,28,0
v005,deep-v6,UDG,15,1,14,0,1,0,15,0,0,0,1,14,0,-1,0
v005,fast-v19,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v005,fast-v19,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v005,fast-v19,DIMACS10,14,4,6,4,228211,4,8,2,-210599,424,4,6,4,-438810,0
v005,fast-v19,SNAP,15,0,15,0,0,1,14,0,-174,0,1,14,0,-174,0
v005,fast-v19,T1,15,1,12,2,1,3,12,0,-4,0,4,9,2,-5,0
v005,fast-v19,T2,15,3,12,0,2310,0,15,0,0,0,3,12,0,-2310,0
v005,fast-v19,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
