Instance,PeakMem(MB),Time(s)
T1_200_250_7.wclq,1.42,3600.28
T1_1000_1000_2.wclq,1.67,3600.30
T1_50_1000_0.wclq,1.40,3600.28
T1_100_100_2.wclq,1.38,3600.29
T1_200_2000_8.wclq,1.46,3600.29
