Instance,PeakMem(MB),Time(s)
frb50-23-3.clq,18.98,3600.84
frb40-19-1.clq,8.79,3600.47
frb30-15-1.clq,3.90,0.36
frb56-25-1.clq,26.77,3601.10
frb56-25-4.clq,26.77,3601.05
