Instance,PeakMem(MB),Time(s)
eu-2005.clq,466.39,out_of_time
in-2004.clq,548.20,out_of_time
ldoor.clq,577.71,out_of_time
uk-2002.clq,8250.96,out_of_time
as-22july06.clq,7.34,0.38
