Instance,PeakMem(MB),Time(s)
UDG_50_150_0.wclq,1.04,0.35
UDG_500_150_3.wclq,1.54,0.34
UDG_800_200_8.wclq,1.83,0.36
UDG_1000_200_8.wclq,2.49,501.46
UDG_100_200_1.wclq,1.05,0.30
