Instance,PeakMem(MB),Time(s)
C4000.5.clq,63.41,35.73
gen200_p0.9_55.clq,1.66,0.31
hamming6-2.clq,0.00,0.23
DSJC500_5.clq,2.52,4.37
p_hat300-2.clq,1.70,0.43
