Instance,PeakMem(MB),Time(s)
C4000.5.clq,63.38,35.92
gen200_p0.9_55.clq,1.66,0.36
hamming6-2.clq,1.06,0.24
DSJC500_5.clq,2.31,0.99
p_hat300-2.clq,1.70,1.01
