Instance,PeakMem(MB),Time(s)
T1_200_250_7.wclq,1.49,2978.24
T1_1000_1000_2.wclq,1.73,3640.45
T1_50_1000_0.wclq,1.32,0.32
T1_100_100_2.wclq,1.46,out_of_time
T1_200_2000_8.wclq,1.51,1392.12
